id,2020,2021,2022,2023,2024
84098,C,C,C,C,C
85055,C,C,C,C,C
85140,C,C,C,C,C
85145,C,C,C,C,C
85202,C,C,C,C,C
85262,C,C,C,C,C
85278,C,C,C,C,C
85300,C,C,C,C,C
86031,C,C,C,C,C
86068,C,C,C,C,C
86100,C,C,C,C,C
86110,C,C,C,C,C
86222,C,C,C,C,C
86252,C,C,C,C,C
86273,C,C,C,C,C
86286,C,C,C,C,C
86298,C,C,C,C,C
87014,C,C,C,C,C
87015,C,C,C,C,C
87021,C,N,C,C,C
87054,N,N,C,C,N
87097,C,C,C,C,N
87113,C,C,C,C,C
87119,C,N,C,C,C
88016,-,C,-,C,-
88048,C,C,C,C,C
88116,C,C,C,C,C
88128,C,-,-,C,-
88152,-,-,-,-,C
88197,-,C,-,C,-
91521,C,C,C,C,C
91556,C,C,C,C,C
91589,C,C,C,C,C
91645,C,C,C,C,C
95422,-,C,-,-,C
95676,C,C,C,C,C
97103,C,C,-,-,-
97604,C,C,C,C,C
31287,C,C,C,C,C
31384,C,C,C,C,C
31407,C,C,C,C,C
31416,C,C,C,C,C
31466,C,C,C,C,C
31492,C,C,C,C,C
31495,C,C,C,C,C
32015,C,C,C,N,C
32032,C,C,C,C,C
32064,C,C,C,C,C
32086,C,C,C,C,C
32104,C,C,C,N,C
32154,C,C,N,C,N
32161,C,C,C,C,C
32167,C,C,C,C,C
32213,C,N,C,C,C
32298,C,C,C,C,C
32332,C,C,C,C,C
32333,C,C,C,C,C
32350,C,C,C,C,C
32394,C,C,C,N,C
32408,C,C,C,C,C
32437,C,C,C,C,C
32442,C,C,C,C,C
33029,C,C,C,C,C
33053,C,C,C,C,C
33064,C,C,C,C,C
33084,C,C,C,C,C
33094,C,C,C,C,C
33105,C,C,C,C,C
33137,C,C,C,C,C
33146,C,C,C,C,C
33164,C,C,C,C,C
33190,C,C,C,C,C
33196,C,C,C,C,C
33223,C,C,C,C,C
33262,C,C,C,C,C
33278,C,C,C,C,C
33279,C,C,C,C,C
33290,C,C,C,N,C
33325,C,C,C,C,C
33369,C,C,C,C,C
33383,C,C,C,C,C
33411,C,C,C,C,C
33413,C,C,C,C,C
33420,C,C,C,N,C
33442,C,C,C,C,C
33534,C,C,C,C,C
34011,C,C,C,C,C
34055,C,C,C,C,C
34120,C,C,C,C,C
34144,C,C,C,C,C
34173,C,C,C,C,C
34175,C,-,-,C,-
34191,C,C,C,C,C
34269,C,C,C,C,C
34284,C,C,C,C,C
34291,C,C,C,C,-
35051,C,C,C,C,C
35059,C,C,C,C,C
35071,C,C,C,C,C
35107,C,C,C,C,C
35127,C,C,C,C,C
35130,C,C,C,C,C
35131,C,C,C,C,C
35148,C,C,C,C,C
35153,C,C,C,C,C
35161,C,C,C,C,C
35185,C,C,C,C,C
35214,C,C,C,C,C
35215,C,C,C,C,C
35223,C,C,C,C,C
35227,C,C,C,C,C
35277,C,C,C,C,C
35354,C,C,C,C,C
70286,C,C,C,C,C
70295,-,C,-,C,-
70324,C,C,C,C,C
70366,C,C,C,C,C
70385,C,C,C,C,C
70396,C,C,C,C,C
70420,C,C,C,C,C
70435,C,C,C,C,C
70498,C,C,C,C,C
70509,C,C,C,-,C
